date,close
2024-10-01,216.60000610351562
2024-10-02,210.8000030517578
2024-10-03,206.8000030517578
2024-10-04,212.25
2024-10-07,202.39999389648438
2024-10-08,202.25
2024-10-09,203.4499969482422
2024-10-10,205.0
2024-10-11,201.6999969482422
2024-10-14,208.10000610351562
2024-10-15,202.14999389648438
2024-10-16,203.0500030517578
2024-10-17,200.5500030517578
2024-10-18,202.39999389648438
2024-10-21,199.39999389648438
2024-10-22,200.5500030517578
2024-10-23,202.39999389648438
2024-10-24,198.6999969482422
2024-10-25,201.25
2024-10-28,205.0
2024-10-29,202.0500030517578
2024-10-30,204.35000610351562
2024-10-31,203.5500030517578
2024-11-01,199.9499969482422
2024-11-04,202.3000030517578
2024-11-05,205.5500030517578
2024-11-06,203.8000030517578
2024-11-07,210.5
2024-11-08,203.10000610351562
2024-11-11,205.64999389648438
2024-11-12,210.0500030517578
2024-11-13,213.0500030517578
2024-11-14,216.64999389648438
2024-11-15,220.5500030517578
2024-11-18,217.5500030517578
2024-11-19,214.75
2024-11-20,222.5
2024-11-21,222.10000610351562
2024-11-22,221.64999389648438
2024-11-25,217.0
2024-11-26,222.35000610351562
2024-11-27,232.5
2024-11-29,228.0500030517578
2024-12-02,214.4499969482422
2024-12-03,214.9499969482422
2024-12-04,220.89999389648438
2024-12-05,226.0500030517578
2024-12-06,229.1999969482422
2024-12-09,228.4499969482422
2024-12-10,225.75
2024-12-11,211.3000030517578
2024-12-12,211.8000030517578
2024-12-13,210.10000610351562
2024-12-16,213.60000610351562
2024-12-17,211.10000610351562
2024-12-18,211.60000610351562
2024-12-19,204.3000030517578
2024-12-20,206.64999389648438
2024-12-23,208.60000610351562
2024-12-24,213.14999389648438
2024-12-26,212.60000610351562
2024-12-27,215.10000610351562
2024-12-30,218.89999389648438
2024-12-31,219.35000610351562
2025-01-02,223.5
2025-01-03,215.0
2025-01-06,216.35000610351562
2025-01-07,217.1999969482422
2025-01-08,213.1999969482422
2025-01-09,212.5500030517578
2025-01-10,212.85000610351562
2025-01-13,216.39999389648438
2025-01-14,212.35000610351562
2025-01-15,216.9499969482422
2025-01-16,213.5500030517578
2025-01-17,213.75
2025-01-21,213.85000610351562
2025-01-22,216.3000030517578
2025-01-23,218.3000030517578
2025-01-24,217.5500030517578
2025-01-27,218.1999969482422
2025-01-28,221.60000610351562
2025-01-29,223.8000030517578
2025-01-30,228.14999389648438
2025-01-31,229.85000610351562
2025-02-03,231.1999969482422
2025-02-04,232.6999969482422
2025-02-05,237.1999969482422
2025-02-06,249.4499969482422
2025-02-07,250.5
2025-02-10,272.3500061035156
2025-02-11,258.29998779296875
2025-02-12,267.04998779296875
2025-02-13,258.1000061035156
2025-02-14,255.8000030517578
2025-02-18,260.04998779296875
2025-02-19,266.3999938964844
2025-02-20,257.25
2025-02-21,258.95001220703125
2025-02-24,254.64999389648438
2025-02-25,247.10000610351562
2025-02-26,245.8000030517578
2025-02-27,244.1999969482422
2025-02-28,243.5
2025-03-03,254.10000610351562
2025-03-04,260.3999938964844
2025-03-05,267.54998779296875
2025-03-06,248.0
2025-03-07,249.75
2025-03-10,250.1999969482422
2025-03-11,258.54998779296875
2025-03-12,252.35000610351562
2025-03-13,256.1499938964844
2025-03-14,256.0
2025-03-17,263.75
2025-03-18,263.6499938964844
2025-03-19,268.5
2025-03-20,267.45001220703125
2025-03-21,265.0
2025-03-24,267.1000061035156
2025-03-25,272.1499938964844
2025-03-26,267.8999938964844
2025-03-27,259.95001220703125
2025-03-28,267.95001220703125
2025-03-31,271.54998779296875
2025-04-01,278.1499938964844
2025-04-02,279.5
2025-04-03,277.20001220703125
2025-04-04,258.04998779296875
2025-04-07,254.10000610351562
2025-04-08,258.70001220703125
2025-04-09,264.25
2025-04-10,265.70001220703125
2025-04-11,270.95001220703125
2025-04-14,271.95001220703125
2025-04-15,274.54998779296875
2025-04-16,278.29998779296875
2025-04-17,278.29998779296875
2025-04-21,272.1499938964844
2025-04-22,277.25
2025-04-23,287.29998779296875
