date,close
2024-08-01,202.85000610351562
2024-08-02,203.3000030517578
2024-08-05,199.4499969482422
2024-08-06,204.64999389648438
2024-08-07,208.14999389648438
2024-08-08,207.8000030517578
2024-08-09,202.64999389648438
2024-08-12,209.39999389648438
2024-08-13,201.89999389648438
2024-08-14,204.35000610351562
2024-08-15,204.25
2024-08-16,210.3000030517578
2024-08-19,210.9499969482422
2024-08-20,215.6999969482422
2024-08-21,217.5500030517578
2024-08-22,212.35000610351562
2024-08-23,214.35000610351562
2024-08-26,215.10000610351562
2024-08-27,218.9499969482422
2024-08-28,217.25
2024-08-29,209.85000610351562
2024-08-30,206.64999389648438
2024-09-03,206.35000610351562
2024-09-04,207.5500030517578
2024-09-05,209.64999389648438
2024-09-06,202.14999389648438
2024-09-09,209.4499969482422
2024-09-10,210.10000610351562
2024-09-11,209.3000030517578
2024-09-12,211.39999389648438
2024-09-13,218.9499969482422
2024-09-16,211.85000610351562
2024-09-17,216.25
2024-09-18,214.75
2024-09-19,214.35000610351562
2024-09-20,205.9499969482422
2024-09-23,215.64999389648438
2024-09-24,219.5
2024-09-25,218.14999389648438
2024-09-26,222.0500030517578
2024-09-27,220.5
2024-09-30,224.85000610351562
2024-10-01,216.60000610351562
2024-10-02,210.8000030517578
2024-10-03,206.8000030517578
2024-10-04,212.25
2024-10-07,202.39999389648438
2024-10-08,206.1999969482422
2024-10-09,207.39999389648438
2024-10-10,208.9499969482422
2024-10-11,205.64999389648438
2024-10-14,212.0500030517578
2024-10-15,206.10000610351562
2024-10-16,207.0
2024-10-17,204.5
2024-10-18,206.35000610351562
2024-10-21,203.35000610351562
2024-10-22,204.5
2024-10-23,206.35000610351562
2024-10-24,202.64999389648438
2024-10-25,205.1999969482422
2024-10-28,208.9499969482422
2024-10-29,206.0
2024-10-30,208.3000030517578
2024-10-31,207.5
2024-11-01,203.89999389648438
2024-11-04,206.25
2024-11-05,209.5
2024-11-06,207.75
2024-11-07,214.4499969482422
2024-11-08,207.0500030517578
2024-11-11,209.60000610351562
2024-11-12,214.0
2024-11-13,217.0
2024-11-14,220.60000610351562
2024-11-15,224.5
2024-11-18,221.5
2024-11-19,218.6999969482422
2024-11-20,226.4499969482422
2024-11-21,226.0500030517578
2024-11-22,225.60000610351562
2024-11-25,220.9499969482422
2024-11-26,226.3000030517578
2024-11-27,236.4499969482422
2024-11-29,232.0
2024-12-02,218.39999389648438
2024-12-03,218.89999389648438
2024-12-04,224.85000610351562
2024-12-05,230.0
2024-12-06,233.14999389648438
2024-12-09,232.39999389648438
2024-12-10,229.6999969482422
2024-12-11,216.3000030517578
2024-12-12,216.8000030517578
2024-12-13,215.10000610351562
2024-12-16,218.60000610351562
2024-12-17,216.10000610351562
2024-12-18,216.64999389648438
2024-12-19,209.75
2024-12-20,212.8000030517578
2024-12-23,214.75
2024-12-24,220.0500030517578
2024-12-26,219.5
2024-12-27,222.35000610351562
2024-12-30,226.35000610351562
2024-12-31,227.8000030517578
2025-01-02,232.10000610351562
2025-01-03,223.60000610351562
2025-01-06,224.85000610351562
2025-01-07,225.6999969482422
2025-01-08,221.6999969482422
2025-01-09,221.0500030517578
2025-01-10,221.35000610351562
2025-01-13,224.89999389648438
2025-01-14,220.85000610351562
2025-01-15,225.4499969482422
2025-01-16,221.9499969482422
2025-01-17,222.14999389648438
2025-01-21,220.60000610351562
2025-01-22,222.3000030517578
2025-01-23,224.3000030517578
2025-01-24,223.5500030517578
2025-01-27,224.1999969482422
2025-01-28,226.60000610351562
2025-01-29,228.8000030517578
2025-01-30,233.14999389648438
2025-01-31,234.85000610351562
2025-02-03,236.1999969482422
2025-02-04,238.85000610351562
2025-02-05,242.64999389648438
2025-02-06,255.0
2025-02-07,256.25
2025-02-10,278.1000061035156
2025-02-11,264.1499938964844
2025-02-12,272.95001220703125
2025-02-13,264.0
2025-02-14,261.70001220703125
2025-02-18,265.6499938964844
2025-02-19,271.8999938964844
2025-02-20,263.20001220703125
2025-02-21,264.8999938964844
2025-02-24,260.6000061035156
2025-02-25,253.0500030517578
2025-02-26,251.4499969482422
2025-02-27,249.89999389648438
2025-02-28,250.39999389648438
2025-03-03,261.0
2025-03-04,267.29998779296875
2025-03-05,274.5
2025-03-06,254.75
2025-03-07,255.5
2025-03-10,256.0
2025-03-11,264.3500061035156
2025-03-12,259.0
2025-03-13,261.8999938964844
2025-03-14,261.8500061035156
2025-03-17,269.6000061035156
2025-03-18,269.95001220703125
2025-03-19,274.5
2025-03-20,274.1499938964844
2025-03-21,272.3999938964844
2025-03-24,274.5
2025-03-25,280.70001220703125
2025-03-26,275.8500061035156
2025-03-27,268.04998779296875
2025-03-28,274.5
2025-03-31,278.1499938964844
2025-04-01,285.04998779296875
2025-04-02,286.3999938964844
2025-04-03,284.1000061035156
2025-04-04,265.5
2025-04-07,259.0
2025-04-08,263.3999938964844
2025-04-09,268.45001220703125
2025-04-10,270.1000061035156
2025-04-11,275.25
2025-04-14,277.3999938964844
2025-04-15,280.25
2025-04-16,284.0
2025-04-17,284.0
2025-04-21,277.75
2025-04-22,283.6000061035156
2025-04-23,293.54998779296875
2025-04-24,302.29998779296875
2025-04-25,299.6000061035156
2025-04-28,305.79998779296875
2025-04-29,293.6499938964844
2025-04-30,297.25
2025-05-01,285.20001220703125
2025-05-02,287.6499938964844
2025-05-05,290.3500061035156
2025-05-06,292.54998779296875
2025-05-07,289.20001220703125
2025-05-08,290.45001220703125
2025-05-09,291.70001220703125
2025-05-12,278.3999938964844
2025-05-13,284.8999938964844
2025-05-14,279.1000061035156
2025-05-15,286.3500061035156
2025-05-16,281.8500061035156
2025-05-19,290.1000061035156
2025-05-20,288.04998779296875
2025-05-21,290.45001220703125
2025-05-22,285.20001220703125
2025-05-23,286.5
2025-05-27,288.45001220703125
2025-05-28,281.0
2025-05-29,277.79998779296875
2025-05-30,275.95001220703125
2025-06-02,277.1000061035156
2025-06-03,277.6499938964844
2025-06-04,284.1000061035156
