date,close
2025-02-27,3158.699951171875
2025-02-28,3109.800048828125
2025-03-03,3163.89990234375
2025-03-04,3182.699951171875
2025-03-05,3187.5
2025-03-06,3188.10009765625
2025-03-07,3174.699951171875
2025-03-10,3158.199951171875
2025-03-11,3180.300048828125
2025-03-12,3204.800048828125
2025-03-13,3249.800048828125
2025-03-14,3259.0
2025-03-17,3264.199951171875
2025-03-18,3302.5
2025-03-19,3303.5
2025-03-20,3304.89990234375
2025-03-21,3277.89990234375
2025-03-24,3271.800048828125
2025-03-25,3282.800048828125
2025-03-26,3279.199951171875
2025-03-27,3314.0
2025-03-28,3339.300048828125
2025-03-31,3376.300048828125
2025-04-01,3372.300048828125
2025-04-02,3395.10009765625
2025-04-03,3348.60009765625
2025-04-04,3256.89990234375
2025-04-07,3195.5
2025-04-08,3214.39990234375
2025-04-09,3309.300048828125
2025-04-10,3407.60009765625
2025-04-11,3482.699951171875
2025-04-14,3464.5
2025-04-15,3478.699951171875
2025-04-16,3589.39990234375
2025-04-17,3570.89990234375
2025-04-21,3671.10009765625
2025-04-22,3669.0
2025-04-23,3542.10009765625
2025-04-24,3598.800048828125
2025-04-25,3547.60009765625
2025-04-28,3597.60009765625
2025-04-29,3581.800048828125
2025-04-30,3564.300048828125
2025-05-01,3467.199951171875
2025-05-02,3489.0
2025-05-05,3570.300048828125
2025-05-06,3674.199951171875
2025-05-07,3643.800048828125
2025-05-08,3557.60009765625
2025-05-09,3595.60009765625
2025-05-12,3479.89990234375
2025-05-13,3501.10009765625
2025-05-14,3439.199951171875
2025-05-15,3476.10009765625
2025-05-16,3434.89990234375
2025-05-19,3483.60009765625
2025-05-20,3533.800048828125
2025-05-21,3565.39990234375
2025-05-22,3547.39990234375
2025-05-23,3620.800048828125
2025-05-27,3556.89990234375
2025-05-28,3549.5
2025-05-29,3567.60009765625
2025-05-30,3538.39990234375
2025-06-02,3622.39990234375
2025-06-03,3604.89990234375
2025-06-04,3626.300048828125
2025-06-05,3599.89990234375
2025-06-06,3571.60009765625
2025-06-09,3579.39990234375
2025-06-10,3567.89990234375
2025-06-11,3567.39990234375
2025-06-12,3623.199951171875
2025-06-13,3675.800048828125
2025-06-16,3639.199951171875
2025-06-17,3630.0
2025-06-18,3630.0
2025-06-20,3607.800048828125
2025-06-23,3616.39990234375
2025-06-24,3554.89990234375
2025-06-25,3563.699951171875
2025-06-26,3568.300048828125
2025-06-27,3505.300048828125
2025-06-30,3525.5
2025-07-01,3568.5
2025-07-02,3579.699951171875
2025-07-03,3564.0
2025-07-07,3563.39990234375
2025-07-08,3539.39990234375
2025-07-09,3541.800048828125
2025-07-10,3547.699951171875
2025-07-11,3584.300048828125
2025-07-14,3581.699951171875
2025-07-15,3559.10009765625
2025-07-16,3580.199951171875
2025-07-17,3567.10009765625
2025-07-18,3580.10009765625
2025-07-21,3631.39990234375
2025-07-22,3672.0
2025-07-23,3622.199951171875
2025-07-24,3598.89990234375
2025-07-25,3556.89990234375
2025-07-28,3532.39990234375
2025-07-29,3546.699951171875
2025-07-30,3517.89990234375
2025-07-31,3514.699951171875
2025-08-01,3561.39990234375
2025-08-04,3587.300048828125
2025-08-05,3596.39990234375
2025-08-06,3593.89990234375
2025-08-07,3608.5
2025-08-08,3642.5
2025-08-11,3572.699951171875
2025-08-12,3565.10009765625
2025-08-13,3574.39990234375
2025-08-14,3547.89990234375
2025-08-15,3544.800048828125
2025-08-18,3539.699951171875
2025-08-19,3520.0
2025-08-20,3551.199951171875
2025-08-21,3544.699951171875
2025-08-22,3581.39990234375
2025-08-25,3580.699951171875
2025-08-26,3598.0
2025-08-27,3617.699951171875
2025-08-28,3641.800048828125
2025-08-29,3685.10009765625
2025-09-02,3762.39990234375
2025-09-03,3806.39990234375
2025-09-04,3777.300048828125
2025-09-05,3823.39990234375
2025-09-08,3845.0
2025-09-09,3849.800048828125
2025-09-10,3849.800048828125
2025-09-11,3840.89990234375
2025-09-12,3853.800048828125
2025-09-15,3887.199951171875
2025-09-16,3894.0
2025-09-17,3887.199951171875
2025-09-18,3845.5
2025-09-19,3874.300048828125
2025-09-22,3944.699951171875
2025-09-23,3986.800048828125
2025-09-24,3940.5
2025-09-25,3948.89990234375
2025-09-26,3987.199951171875
2025-09-29,4038.300048828125
2025-09-30,4055.89990234375
2025-10-01,4084.699951171875
2025-10-02,4054.199951171875
2025-10-03,4095.5
2025-10-06,4168.60009765625
2025-10-07,4202.2001953125
2025-10-08,4275.0
2025-10-09,4173.60009765625
2025-10-10,4199.7001953125
2025-10-13,4336.2998046875
2025-10-14,4366.89990234375
2025-10-15,4407.2001953125
2025-10-16,4512.39990234375
2025-10-17,4415.7998046875
2025-10-20,4568.7001953125
2025-10-21,4308.0
2025-10-22,4266.10009765625
2025-10-23,4349.60009765625
2025-10-24,4341.7998046875
2025-10-27,4218.89990234375
2025-10-28,4180.2998046875
2025-10-29,4203.60009765625
2025-10-30,4223.7001953125
2025-10-31,4201.89990234375
2025-11-03,4223.2001953125
2025-11-04,4167.39990234375
2025-11-05,4202.60009765625
2025-11-06,4198.89990234375
2025-11-07,4215.2998046875
2025-11-10,4330.39990234375
2025-11-11,4323.7001953125
